size_ko,nb_doubles,time_ms
138,17664,8.777999999999999
139,17792,9.306999999999999
140,17920,10.514000000000001
141,18048,10.434000000000001
142,18176,11.209999999999999
143,18304,11.353
144,18432,11.052
145,18560,11.200999999999999
146,18688,11.415
147,18816,11.455
148,18944,11.315000000000001
149,19072,12.356
150,19200,12.397
151,19328,12.747
152,19456,12.265
153,19584,12.256
154,19712,11.996
155,19840,11.984
156,19968,12.282
157,20096,12.243
159,20352,12.281
161,20608,12.404
163,20864,12.443
165,21120,12.541
167,21376,12.172
169,21632,12.547
171,21888,12.413
173,22144,12.259
175,22400,12.415000000000001
177,22656,12.302
179,22912,11.832
181,23168,12.468
185,23680,12.484
187,23936,12.142
189,24192,11.974
191,24448,12.346
193,24704,11.901
195,24960,13.349
197,25216,12.779
199,25472,12.427999999999999
201,25728,12.531
203,25984,12.35
205,26240,12.642999999999999
207,26496,12.394
209,26752,12.222
211,27008,12.632000000000001
213,27264,12.062
215,27520,12.633999999999999
217,27776,12.293999999999999
219,28032,12.066
221,28288,12.559000000000001
223,28544,12.666
225,28800,12.323
227,29056,11.981
229,29312,12.231
231,29568,11.994
233,29824,12.19
235,30080,11.885
237,30336,12.138
239,30592,11.862
241,30848,12.257
243,31104,11.927
245,31360,12.402
247,31616,12.401
249,31872,12.088
251,32128,12.156
253,32384,12.163
255,32640,12.499
257,32896,12.373999999999999
261,33408,11.962
265,33920,12.378
269,34432,12.176
273,34944,12.167000000000002
277,35456,12.213999999999999
281,35968,12.045
285,36480,12.3
289,36992,12.154
293,37504,12.272
297,38016,12.418000000000001
301,38528,12.433
305,39040,12.156
309,39552,12.472999999999999
313,40064,12.07
317,40576,12.209
321,41088,11.801
325,41600,12.047
329,42112,12.541
333,42624,11.811
337,43136,12.28
341,43648,12.104000000000001
345,44160,12.187999999999999
349,44672,12.1
353,45184,12.364
357,45696,12.264000000000001
361,46208,12.402
365,46720,12.023000000000001
369,47232,12.31
373,47744,11.996
377,48256,12.033
381,48768,12.153
385,49280,12.271
389,49792,11.991999999999999
393,50304,12.062
397,50816,12.183
401,51328,12.166
405,51840,12.225
409,52352,12.418999999999999
413,52864,12.166
417,53376,11.976
421,53888,12.07
425,54400,12.093
429,54912,12.02
433,55424,11.952
437,55936,12.012
441,56448,12.072
445,56960,11.943
449,57472,12.352
453,57984,12.013
457,58496,11.875
461,59008,12.13
465,59520,12.622
469,60032,13.162
473,60544,12.64
477,61056,12.08
481,61568,12.014000000000001
485,62080,12.323
489,62592,12.065
493,63104,11.982
497,63616,12.038
501,64128,11.996
505,64640,12.041
509,65152,11.939
513,65664,11.886000000000001
521,66688,12.02
529,67712,11.857
537,68736,11.908
545,69760,12.236
553,70784,12.154
561,71808,12.014000000000001
569,72832,12.551
577,73856,11.882
585,74880,12.198
593,75904,12.503
601,76928,12.432
609,77952,11.978000000000002
617,78976,12.089
625,80000,11.716000000000001
633,81024,11.956
641,82048,12.288
649,83072,11.971
657,84096,11.892
665,85120,12.049000000000001
673,86144,12.054
681,87168,12.073
689,88192,12.041
697,89216,12.016
705,90240,12.28
713,91264,11.787
721,92288,12.167000000000002
729,93312,12.095
737,94336,11.949
745,95360,12.126
753,96384,12.4
761,97408,12.176
769,98432,12.236
777,99456,12.282
785,100480,11.972999999999999
793,101504,11.917
801,102528,12.291
809,103552,12.155
817,104576,12.009
825,105600,11.998999999999999
833,106624,12.347
841,107648,12.045
849,108672,12.194
857,109696,12.382000000000001
865,110720,12.056000000000001
873,111744,12.013
881,112768,12.167000000000002
889,113792,12.168999999999999
897,114816,12.258
905,115840,11.975
913,116864,12.009
921,117888,11.802
929,118912,11.94
937,119936,12.047
945,120960,11.907
953,121984,11.957
961,123008,12.174000000000001
969,124032,11.893
977,125056,12.177999999999999
985,126080,12.128
993,127104,12.104000000000001
1001,128128,11.983
1009,129152,12.423
1017,130176,11.82
1025,131200,12.072
1033,132224,12.212
1041,133248,12.131
1049,134272,11.997
1057,135296,12.168
1065,136320,12.198
1073,137344,12.148000000000001
1081,138368,12.092
1089,139392,12.146
1097,140416,12.174000000000001
1105,141440,12.355
1113,142464,11.905000000000001
1121,143488,12.0
1129,144512,11.902
1137,145536,12.491999999999999
1145,146560,12.196
1153,147584,12.173
1161,148608,12.073
1169,149632,12.302999999999999
1177,150656,11.979
1185,151680,12.13
1193,152704,12.25
1201,153728,12.029
1209,154752,11.943999999999999
1217,155776,12.113000000000001
1225,156800,12.084
1233,157824,12.028
1241,158848,12.486
1249,159872,12.185
1257,160896,12.107
1265,161920,12.515
1273,162944,12.197
1281,163968,12.016
1289,164992,12.201
1297,166016,11.952
1305,167040,12.084
1313,168064,12.112
1321,169088,12.024999999999999
1329,170112,11.772
1337,171136,11.962
1345,172160,11.918
1353,173184,11.942
1361,174208,12.054
1369,175232,12.166
1377,176256,12.115
