size_bytes,time_s
162816.0,0.016463
164864.0,0.016809
166912.0,0.017038
168960.0,0.016687
171008.0,0.016995
173056.0,0.016328
175104.0,0.016272
177152.0,0.016095
179200.0,0.015959
181248.0,0.015979
183296.0,0.016321
185344.0,0.015893
187392.0,0.015878
189440.0,0.016396
191488.0,0.015927
193536.0,0.015814
195584.0,0.016272
197632.0,0.015776
199680.0,0.015691
201728.0,0.016429
203776.0,0.016259
205824.0,0.016791
207872.0,0.017243
209920.0,0.017124
211968.0,0.016868
214016.0,0.017552
216064.0,0.017908
218112.0,0.018391
220160.0,0.019296
222208.0,0.018993
224256.0,0.019281
226304.0,0.018927
228352.0,0.018788
230400.0,0.019065
232448.0,0.018714
234496.0,0.018887
236544.0,0.019414
238592.0,0.019361
240640.0,0.019804
242688.0,0.019651
244736.0,0.020198
246784.0,0.019786
248832.0,0.019419
250880.0,0.019964
252928.0,0.019781
254976.0,0.019369
257024.0,0.01955
259072.0,0.019334
261120.0,0.019516
263168.0,0.020896
267264.0,0.021004
271360.0,0.021083
275456.0,0.020876
279552.0,0.021187
283648.0,0.021205
287744.0,0.021695
291840.0,0.022512
295936.0,0.023579
300032.0,0.024419
304128.0,0.024707
308224.0,0.024813
312320.0,0.025562
316416.0,0.025723
320512.0,0.025312
324608.0,0.026062
328704.0,0.025584
332800.0,0.026543
336896.0,0.027066
340992.0,0.026991
345088.0,0.027038
349184.0,0.027588
353280.0,0.027522
357376.0,0.028193
361472.0,0.028393
365568.0,0.028034
369664.0,0.028723
373760.0,0.029654
377856.0,0.029797
381952.0,0.029328
386048.0,0.029413
390144.0,0.029373
394240.0,0.028925
398336.0,0.029466
402432.0,0.029101
406528.0,0.029516
410624.0,0.029458
414720.0,0.029131
418816.0,0.029899
422912.0,0.029331
427008.0,0.029281
431104.0,0.030038
435200.0,0.030357
439296.0,0.030593
443392.0,0.030269
447488.0,0.031194
451584.0,0.030329
455680.0,0.031027
459776.0,0.030568
463872.0,0.030031
467968.0,0.030333
472064.0,0.030161
476160.0,0.030049
480256.0,0.030261
484352.0,0.029922
488448.0,0.030531
492544.0,0.030667
496640.0,0.030507
500736.0,0.03031
504832.0,0.03019
508928.0,0.03039
513024.0,0.030442
517120.0,0.030144
521216.0,0.030429
525312.0,0.031976
533504.0,0.032619
541696.0,0.031792
549888.0,0.031665
558080.0,0.031347
566272.0,0.031103
574464.0,0.031188
582656.0,0.032089
590848.0,0.03094
599040.0,0.03223
607232.0,0.031691
615424.0,0.032022
623616.0,0.031409
631808.0,0.031305
640000.0,0.031083
648192.0,0.031294
656384.0,0.031118
664576.0,0.031408
672768.0,0.031288
680960.0,0.031057
689152.0,0.031422
697344.0,0.031203
705536.0,0.031856
713728.0,0.031453
721920.0,0.031081
730112.0,0.031405
738304.0,0.031381
746496.0,0.031023
754688.0,0.031636
762880.0,0.031123
771072.0,0.031422
779264.0,0.031605
787456.0,0.031212
795648.0,0.031697
803840.0,0.031388
812032.0,0.031454
820224.0,0.031497
828416.0,0.031033
836608.0,0.03198
844800.0,0.031563
852992.0,0.031247
861184.0,0.032357
869376.0,0.031554
877568.0,0.031874
885760.0,0.031436
893952.0,0.031166
902144.0,0.031332
910336.0,0.031394
918528.0,0.031141
926720.0,0.031365
934912.0,0.031485
943104.0,0.030994
951296.0,0.031561
959488.0,0.030974
967680.0,0.031555
975872.0,0.031446
984064.0,0.03132
992256.0,0.031518
1000448.0,0.031313
1008640.0,0.031219
1016832.0,0.032055
1025024.0,0.031233
1033216.0,0.031476
1041408.0,0.031365
1049600.0,0.031232
1057792.0,0.031881
1065984.0,0.031396
1074176.0,0.031606
1082368.0,0.031469
1090560.0,0.031068
1098752.0,0.03201
1106944.0,0.031531
1115136.0,0.03176
1123328.0,0.031568
1131520.0,0.031544
1139712.0,0.031272
1147904.0,0.031545
1156096.0,0.031306
1164288.0,0.031545
1172480.0,0.031856
1180672.0,0.03114
1188864.0,0.031455
1197056.0,0.031597
1205248.0,0.031096
1213440.0,0.031437
1221632.0,0.031382
1229824.0,0.031449
1238016.0,0.031523
1246208.0,0.03131
1254400.0,0.031609
1262592.0,0.031487
1270784.0,0.031166
1278976.0,0.031593
1287168.0,0.031496
1295360.0,0.03124
1303552.0,0.031651
1311744.0,0.031437
1319936.0,0.032016
1328128.0,0.031943
1336320.0,0.031212
1344512.0,0.031531
1352704.0,0.03186
1360896.0,0.031384
1369088.0,0.031759
1377280.0,0.031679
1385472.0,0.031824
1393664.0,0.031582
1401856.0,0.031234
1410048.0,0.031555
1418240.0,0.031493
1426432.0,0.031524
1434624.0,0.031565
1442816.0,0.031104
1451008.0,0.031639
1459200.0,0.03161
1467392.0,0.031706
1475584.0,0.03199
1483776.0,0.031637
1491968.0,0.031179
1500160.0,0.031797
1508352.0,0.03143
1516544.0,0.031301
1524736.0,0.031574
1532928.0,0.031116
1541120.0,0.031576
1549312.0,0.0315
1557504.0,0.031238
1565696.0,0.031745
1573888.0,0.031845
1582080.0,0.031657
1590272.0,0.031736
1598464.0,0.031325
1606656.0,0.031627
1614848.0,0.03256
1623040.0,0.031458
1631232.0,0.031942
1639424.0,0.032107
1647616.0,0.031574
1655808.0,0.0319
1664000.0,0.03142
1672192.0,0.031407
1680384.0,0.031966
1688576.0,0.031277
1696768.0,0.031763
