size_bytes,time_s
2171904.0,0.011496
2180096.0,0.011772
2188288.0,0.011574
2196480.0,0.011496
2204672.0,0.011513
2212864.0,0.011468
2221056.0,0.011446
2229248.0,0.011498
2237440.0,0.011508
2245632.0,0.0115
2253824.0,0.011519
2262016.0,0.011838
2270208.0,0.011747
2278400.0,0.011467
2286592.0,0.011607
2294784.0,0.011793
2302976.0,0.012229
2311168.0,0.012365
2319360.0,0.012165
2327552.0,0.011692
2335744.0,0.011466
2343936.0,0.011471
2352128.0,0.011501
2360320.0,0.011465
2368512.0,0.011661
2376704.0,0.011523
2384896.0,0.01152
2393088.0,0.01146
2401280.0,0.011477
2409472.0,0.011489
2417664.0,0.012072
2425856.0,0.011627
2434048.0,0.011436
2442240.0,0.011468
2450432.0,0.01151
2458624.0,0.011586
2466816.0,0.011503
2475008.0,0.011489
2483200.0,0.011456
2491392.0,0.011447
2499584.0,0.01214
2507776.0,0.013437
2515968.0,0.012655
2524160.0,0.01263
2532352.0,0.012164
2540544.0,0.012665
2548736.0,0.013254
2556928.0,0.013079
2565120.0,0.039265
2573312.0,0.017344
2581504.0,0.016705
2589696.0,0.012124
2597888.0,0.023768
2606080.0,0.013567
2614272.0,0.014361
2622464.0,0.012968
2630656.0,0.012133
2638848.0,0.01269
2647040.0,0.014475
2655232.0,0.016927
2663424.0,0.012221
2671616.0,0.012572
2679808.0,0.01352
2688000.0,0.012109
2696192.0,0.012126
2704384.0,0.012488
2712576.0,0.012093
2720768.0,0.012107
2728960.0,0.012142
2737152.0,0.012174
2745344.0,0.012735
2753536.0,0.012659
2761728.0,0.012413
2769920.0,0.012368
2778112.0,0.012138
2786304.0,0.014647
2794496.0,0.012437
2802688.0,0.012834
2810880.0,0.013852
2819072.0,0.014894
2827264.0,0.014095
2835456.0,0.012584
2843648.0,0.012099
2851840.0,0.013058
2860032.0,0.012602
2868224.0,0.012418
2876416.0,0.012567
2884608.0,0.012565
2892800.0,0.012797
2900992.0,0.012317
2909184.0,0.012524
2917376.0,0.012189
2925568.0,0.043774
2933760.0,0.01221
2941952.0,0.012144
2950144.0,0.012458
2958336.0,0.01236
2966528.0,0.012158
2974720.0,0.012082
2982912.0,0.012944
2991104.0,0.013513
2999296.0,0.015393
3007488.0,0.023326
3015680.0,0.014493
3023872.0,0.012604
3032064.0,0.012723
3040256.0,0.012764
3048448.0,0.012886
3056640.0,0.012325
3064832.0,0.012172
3073024.0,0.012224
3081216.0,0.012213
3089408.0,0.01183
3097600.0,0.011874
3105792.0,0.011788
3113984.0,0.011894
3122176.0,0.011855
3130368.0,0.011687
3138560.0,0.011845
3146752.0,0.01203
3154944.0,0.011812
3163136.0,0.011779
3171328.0,0.011647
3179520.0,0.011575
3187712.0,0.012134
3195904.0,0.011815
3204096.0,0.011842
3212288.0,0.01157
3220480.0,0.011784
3228672.0,0.01183
3236864.0,0.013462
3245056.0,0.011446
3253248.0,0.013331
3261440.0,0.014457
3269632.0,0.013846
3277824.0,0.012073
3286016.0,0.012005
3294208.0,0.011899
